QUEST;ESTRATO;UPA;ID_DOMICILIO;CLASSE_2015;CLASSE_2008;AREA;RENDA_FAMILIAR;GRAU_INSTRUCAO;resp_sexo;resp_idade;RESP_ESCOLARIDADE;RESP_PEA;RELIGIAO_KIDS;RACA_RESP_KIDS;D1;D2;D3_A;D3_B;D3_C;D3_D;D3_E;D3_F;D3_G;D3_H;D3_I;D3_OUTRO;D3_outro_desc;D4;D5;D6;D7_A;D7_B;D7_C;D7_D;D7_E;D7_F;D7_G;D7_OUTRO;D7_outro_desc;E3;E4_A;E4_B;E4_C;E4_D;E4_E;E4_F;E4_G;E5_A;E5_B;E5_C;E5_D;E5_E;E5_F;E5_G;E6_A;E6_B;E6_C;E6_D;E6_E;E6_F_1;E6_G;E7_A;E7_B;E7_C;E7_D;F1;SEXO_KIDS;IDADE_KIDS;ESC1;RACA_KIDS;M1_A;M1_B;M1_C;M1_D;M1_E;M1_F;M1_OUTRO;M1_outro_desc;M2;M3;M4_A;M4_B;M4_C;M4_D;M4_E;M4_F;M4_G;M4_H;M4_I;M4_J;M4_OUTRO;M4_outro_desc;M5;M6_A;M6_B;M7A_A;M7A_B;M7A_C;M7A_D;M7A_E;M7A_F;M7A_H;M7A_OUTRO;M7A_OUTRO_DESC;M7_G;M8;N1_A;N1_B;N1_C;N1_D;N1_E;N1_F;N1_G;N1_H;N1_1_I;N1_1_L;N1_1_P;N1_1_Q;N1_2_R;N1_2_K;N1_2_M;N1_3_S;N1_3_T;N1_3_Y;N1_3_J;N1_3_N;N1_4_V;N1_4_U;N1_4_X;N1_4_Z;N1_4_O;N2_A;N2_B;N2_C;N2_D;N2_E;N2_F;N2_G;N2_H;N3;R1_A;R1_B;R1_C;R2A_A;R2A_B;R2A_C;R2A_D;R2A_E;R2A_F;R2A_G;R2A_H;R2A_I;R2A_J;R3A_J;R3A_K;R3A_L;U1;U2_A;U2_B;U2_C;U2_D;U2_E;U2_F_1;U2_G;U3_A;U3_B;U3_C;U3_D;U3_E;U3_F;U3_G;U4_A;U4_B;U4_C;U4_D;U4_E;U4_F;U4_G;T1;T2_A;T2_B;T2_C;T2_D;T2_OUTRO;T3;T4_1;T5_A_1;T5_B_1;T5_C_3;T5_D_4;T5_E_5;T5_F_6;T5_OUTRO_1;T6;T7_A;T7_B;T7_C;T7_D;T7_E;T8;T9_A;T9_B;T9_C;T9_D;T9_E;T9_F;T10_A;T10_B;T10_C;T10_D;T10_E;T11_A;T11_B;T11_C;T11_D;T11_E;T11_F;T12_A;T12_B;T12_C;T12_D;T12_E;T12_F;T13_A;T13_B;T13_C;T13_D;T13_E;T13_F;T14;T15_A;T15_B;T15_C;T15_D;T15_E;T15_F;T16;T17;T18;T19_A;T19_B;T19_C;T19_D;T19_E;T19_F;T19_G;T19_H;T19_I;T19_J;T19_OUTRO;T20;T21_A;T21_B;T21_C;T21_D;T21_E;T21_F;T21_G;T21_H;T21_I;T21_J;T21_K;AV1_1;AV1_2;AV1_3;AV1_4;AV2_1;AV2_2;AV2_3;AV2_4;AV3_1;AV3_2;AV3_3;AV3_4;AV3_5;AV3_6;AV4;AV5;PESO;RENDA_FAMILIAR_2;ESCOLARIDADE;COD_REGIAO2;FAIXA_ETARIA;M8_FAIXA;M1_AGREG;M1_DISPOSITIVOS;A1B_EXCLUSIVO;A4_AGREG
4358;78;480;4358;3;3;1;3;4;1;50;10;1;1;5;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;2;1;0;0;0;0;0;0;0;99;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;3;2;3;1;1;1;1;0;2;13;8;2;1;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;0;0;1;1;0;99;0;9;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;2;4;2;99;3;99;99;0;3;1;3;1;1;1;1;1;1;1;1;0;1;1;1;1;97;1;1;1;1;3;1;2;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1;98;98;98;98;98;98;0;99;1;0;0;1;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3;1;5540,98664960794;3;3;2;3;4;1;3;3;1
4361;78;480;4361;3;3;1;2;3;1;40;9;1;1;2;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;0;0;0;0;0;99;1;1;1;0;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;3;3;3;1;1;1;1;0;1;11;6;2;0;1;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;2;1;0;1;0;1;1;0;0;0;0;99;0;10;0;1;1;0;1;1;1;1;1;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;1;99;3;2;99;2;1;2;1;0;3;3;3;1;1;1;1;0;1;1;1;0;1;0;0;1;2;1;1;1;1;3;3;3;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;99;99;99;99;99;99;99;99;1;0;0;1;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;1;0;0;0;1;0;0;3;1;5078,4746349065;2;3;2;2;5;1;3;1;0
4379;79;481;4379;2;2;1;7;2;2;49;6;1;1;3;0;99;0;1;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;2;10;6;3;0;0;0;0;0;0;0;99;0;99;0;0;0;1;0;0;1;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99999999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;99;99;99;99;99;99;99;99;99;99;3;3;5016,45541511161;4;1;2;1;98;0;99;99;0
4398;79;482;4398;4;4;1;2;2;2;43;6;1;1;2;1;2;1;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;2;13;8;2;0;0;0;0;0;0;0;99;1;2;1;0;0;0;1;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99999999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;99;99;99;99;99;99;99;99;99;99;3;1;15490,7752148399;2;1;2;3;98;0;99;99;0
4409;79;482;4409;3;3;1;2;4;2;38;10;1;1;3;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;0;0;0;0;0;0;99;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;3;3;3;1;0;1;1;0;1;16;7;3;0;1;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;1;1;0;1;1;0;99;1;99999997;0;0;0;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;1;0;1;0;1;0;99;99;99;3;3;2;2;1;99;3;1;3;1;1;1;1;1;1;1;1;0;0;1;1;1;3;1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;1;1;1;1;0;0;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;97;97;97;97;97;99;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3;3;7887,70200117207;2;3;2;4;97;1;3;3;1
4411;79;483;4411;2;2;1;6;5;2;45;12;1;1;3;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;0;1;1;0;1;0;99;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;97;0;0;0;1;2;11;6;3;0;1;1;1;0;1;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;1;1;1;0;0;1;1;0;99;0;99999997;1;1;1;1;1;1;0;1;1;0;0;1;1;97;0;0;0;0;1;0;0;1;0;1;0;1;5;3;2;2;2;99;1;0;3;3;2;1;0;0;1;1;1;1;1;1;0;1;1;1;2;1;2;2;3;2;2;2;1;0;1;1;1;1;1;1;1;1;1;1;1;1;98;99;99;99;99;99;1;98;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;98;99;99;99;99;99;99;99;99;1;0;0;1;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3;1;17285,0172722539;4;3;2;2;97;1;3;1;1
4429;79;484;4429;3;4;1;1;4;1;52;8;4;8;2;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;1;1;1;0;1;0;99;1;0;0;0;0;1;1;1;1;1;1;0;0;1;0;3;3;1;3;3;3;3;0;0;0;0;0;1;13;6;3;0;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;1;0;1;0;0;0;0;0;99;1;11;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;3;3;2;3;1;1;1;2;1;2;1;3;0;0;0;1;1;1;0;1;1;0;1;1;0;1;1;3;3;3;3;3;3;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;97;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;99;99;99;99;99;99;99;99;1;0;0;1;1;0;1;0;1;0;0;1;0;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;0;0;0;1;0;0;0;0;1;0;3;3;15967,2852259733;1;2;2;3;6;0;2;1;1
4463;79;485;4463;2;3;1;2;4;1;30;10;1;1;2;1;1;99;99;99;99;99;99;99;99;99;99;99;1;3;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;99;99;99;99;99;99;99;99;99;99;99;0;2;13;9;2;0;0;0;1;0;1;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;1;0;1;0;0;1;0;0;99;1;9;0;0;0;1;1;1;1;1;0;1;0;1;0;1;1;1;0;0;1;1;0;0;0;1;0;99;99;99;1;1;1;1;1;99;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;3;1;0;1;1;1;1;0;0;1;1;1;1;1;1;0;99;99;99;99;99;1;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;97;97;97;97;97;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;99;1;0;0;0;0;0;0;1;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3;1;11721,8346351289;2;3;2;3;4;0;2;1;1
4468;79;485;4468;3;3;1;1;4;1;53;10;4;6;2;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;0;1;0;0;1;0;99;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;0;0;1;1;0;1;17;12;2;1;0;0;1;0;1;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;1;1;1;0;0;0;1;0;99;1;7;1;0;0;1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;99;99;1;1;1;1;1;0;3;3;3;1;1;1;1;1;0;0;1;0;0;0;1;1;2;1;1;1;1;2;1;3;0;1;1;1;0;1;0;1;1;1;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;97;99;99;99;99;99;99;99;99;1;0;1;1;0;0;1;1;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;1;0;0;0;1;0;0;3;1;11110,9298482393;1;3;2;4;2;1;3;1;1
4471;79;486;4471;4;3;1;1;3;2;43;9;1;1;2;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;0;0;0;0;0;99;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;1;1;1;1;0;1;13;7;2;0;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;1;0;1;0;0;0;0;0;99;0;11;0;0;1;1;1;1;1;1;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;99;99;1;2;1;3;5;2;99;1;3;1;1;0;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;3;1;3;0;1;0;1;1;0;0;1;1;1;1;1;0;1;1;0;1;0;0;0;97;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;97;97;97;97;97;97;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;99;1;0;0;1;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;0;0;0;1;0;0;0;1;0;0;3;1;5845,27436889399;1;3;2;3;6;0;2;1;1
4474;79;486;4474;3;3;1;3;1;1;58;5;1;1;3;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;0;0;0;0;0;99;1;1;0;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;3;3;3;1;1;1;1;1;0;1;15;8;1;0;1;1;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;0;0;1;1;0;99;0;10;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;99;4;3;1;1;1;1;1;0;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;99;99;99;99;99;1;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;1;1;1;0;1;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3;1;7179,62696109703;3;1;2;4;5;1;3;3;1
4504;79;487;4504;2;2;1;3;4;2;27;10;1;1;2;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;0;1;0;1;0;0;1;0;99;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;0;0;1;1;0;2;12;8;3;0;1;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;0;0;1;1;0;99;0;8;0;0;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;99;99;1;2;99;1;1;1;99;3;3;3;1;0;1;1;1;1;1;1;0;1;0;1;1;2;1;1;1;1;3;1;3;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3;1;8347,71044131799;3;3;2;2;3;1;3;3;1
4516;79;488;4516;4;3;1;1;3;2;49;9;1;3;3;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;2;1;0;0;1;0;0;0;0;99;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;3;1;1;1;1;0;2;12;7;5;1;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;1;1;1;0;0;1;0;0;99;1;5;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;0;1;0;1;1;99;4;2;3;3;1;1;1;0;3;1;3;1;1;1;1;1;1;1;1;0;1;0;1;1;2;1;2;1;1;3;2;2;0;1;0;1;0;1;0;1;1;1;1;1;1;0;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3;1;5869,27450046012;1;3;2;2;1;1;3;1;1
4517;79;488;4517;2;2;1;5;4;1;64;10;1;3;3;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;0;1;0;0;1;0;99;0;0;0;0;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;3;1;1;0;0;1;1;1;1;16;9;4;1;1;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;0;1;1;0;1;1;0;0;0;0;99;0;99999997;1;1;1;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;1;1;1;0;0;0;1;2;1;3;1;3;1;1;1;0;3;3;3;1;1;1;1;1;1;1;1;0;0;1;1;1;2;1;1;1;1;1;1;3;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;99;99;99;99;99;99;99;99;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3;1;5948,39341343684;4;3;2;4;97;1;3;2;1
4530;79;488;4530;3;3;1;4;4;2;48;12;1;1;2;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;0;0;0;1;0;99;1;0;0;0;0;1;1;0;0;1;1;0;1;1;1;1;2;2;1;3;2;3;1;0;1;1;0;2;17;12;2;1;0;1;1;0;1;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;1;0;1;0;0;0;1;0;99;1;12;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;0;1;0;1;0;99;5;5;2;2;1;1;1;0;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;97;97;97;97;97;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;0;0;1;0;0;0;1;0;0;0;1;0;0;3;1;6234,83954281853;4;3;2;4;7;1;3;1;1
4532;79;489;4532;4;4;1;2;1;2;61;1;1;1;3;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;0;0;1;0;0;0;0;0;99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;1;3;0;0;0;0;0;2;15;10;3;0;1;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;1;0;0;0;0;0;99;0;99999997;1;0;1;1;1;1;1;1;1;1;97;0;1;1;0;0;0;0;1;0;0;0;0;0;0;98;99;3;1;1;1;1;1;0;3;3;3;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;99;99;99;99;99;99;99;99;97;97;97;97;97;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;1;0;0;0;1;0;0;0;0;0;1;0;0;3;3;10890,916731913;2;1;2;4;97;1;3;3;1
4571;79;490;4571;4;4;1;1;1;2;64;3;5;3;2;1;1;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;1;0;0;1;0;1;1;0;1;1;1;1;1;0;99;99;99;99;99;99;99;99;99;99;99;0;2;9;5;2;0;0;1;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;0;0;0;0;0;99;0;8;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;3;99;99;99;3;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;3;2;3;3;3;3;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;1;0;0;0;0;0;1;0;0;0;1;0;0;3;1;8134,65705947914;1;1;2;1;3;1;3;3;1
4585;79;491;4585;3;3;1;3;1;1;49;5;1;1;2;1;1;99;99;99;99;99;99;99;99;99;99;99;1;97;99;99;99;99;99;99;99;99;99;99;1;0;0;1;0;1;1;1;1;1;1;1;0;1;1;99;99;99;99;99;99;99;99;99;99;99;0;2;15;9;2;1;1;0;1;0;1;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;0;0;0;1;0;99;0;10;0;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;1;99;5;3;5;2;2;1;1;0;3;2;3;1;0;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;3;3;3;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;1;0;0;1;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;0;1;0;0;0;0;0;1;0;0;3;1;7089,5383040963;3;1;2;4;5;1;3;3;1
4605;79;492;4605;3;3;1;1;4;2;50;10;2;15;2;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;0;0;0;0;0;0;99;1;1;0;1;0;1;1;0;1;1;1;1;1;1;1;2;2;2;2;3;3;3;1;1;1;1;0;2;12;4;2;1;0;0;1;0;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;2;1;97;1;0;0;0;0;0;0;0;99;0;11;0;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;99;1;1;1;97;1;99;99;0;3;1;3;0;0;0;1;0;0;0;0;0;0;0;1;1;1;3;1;1;3;3;3;3;1;0;1;0;0;0;1;0;1;1;1;1;1;1;0;99;99;99;99;99;0;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;97;99;99;99;99;99;99;99;99;97;99;99;99;99;99;99;99;99;99;99;99;97;99;99;99;99;99;99;99;99;99;99;99;0;1;0;0;0;1;0;0;0;0;0;1;0;0;3;1;12544,8718888627;1;3;2;2;6;1;3;1;1
4614;79;493;4614;4;4;1;1;3;2;32;9;1;1;2;1;2;1;0;0;0;0;1;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;13;9;2;0;0;0;0;0;0;0;99;1;2;1;0;0;0;1;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99999999;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;1;0;0;99;99;99;99;99;99;99;99;99;99;1;1;6850,6496926157;1;3;2;3;98;0;99;99;0
4620;79;493;4620;3;3;1;2;4;2;42;11;1;3;1;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;1;0;1;1;0;99;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;0;1;1;0;1;17;12;1;1;1;0;1;1;0;0;99;99;1;99;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;1;1;0;1;1;0;99;1;10;1;0;1;1;1;1;1;1;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;1;0;1;99;3;1;1;1;1;1;0;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;2;1;2;0;1;0;1;0;0;0;0;1;0;1;0;0;1;1;1;0;1;0;0;1;0;99;99;99;99;99;99;99;99;0;0;0;0;1;99;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;99;99;99;99;99;99;99;99;1;0;0;1;0;0;0;0;0;0;0;0;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;0;1;0;0;0;1;0;0;0;0;0;2;1;7451,34392527542;2;3;2;4;5;1;3;3;1
