"QUEST";"ID_DOMICILIO";"ID_MORADOR";"RESP_SEXO";"RESP_PEA";"D5";"D6";"D7_A";"D7_B";"D7_C";"D7_D";"D7_E";"D7_F";"D7_G";"D7_OUTRO";"E3";"E4_A";"E4_B";"E4_C";"E4_D";"E4_E";"E4_F";"E4_G";"E5_A";"E5_B";"E5_C";"E5_D";"E5_E";"E5_F";"E5_G";"E6_A";"E6_B";"E6_C";"E6_D";"E6_E";"E6_F";"E6_G";"E7_A";"E7_B";"E7_C";"E7_D";"F1";"SEXO_KIDS";"M1_A";"M1_B";"M1_C";"M1_D";"M1_E";"M1_F";"M1_OUTRO";"M1A_H";"M1A_I";"M1A_J";"M1B_A";"M1B_B";"M1B_C";"M1B_D";"M3";"M4_A";"M4_B";"M4_C";"M4_D";"M4_E";"M4_F";"M4_G";"M4_H";"M4_I";"M4_J";"M4_OUTRO";"M5";"M6_A";"M6_B";"M7A_A";"M7A_B";"M7A_C";"M7A_D";"M7A_E";"M7A_F";"M7A_H";"M7A_OUTRO";"M7_G";"M10_A";"M10_B";"M10_C1";"M10_C2";"M10_D";"M10_E";"M10_H";"M10_J";"M10_M";"M10_O";"N1_A1";"N1_B1";"N1_C";"N1_D";"N1_E1";"N1_F1";"N1_G1";"N1_H";"N2_A1";"N2_B1";"N2_C";"N2_D";"N2_E1";"N2_F1";"N2_G1";"N2_H";"N1_1_I";"N1_1_L";"N1_1_P";"N1_1_Q";"N1_2_R";"N1_2_K";"N1_2_M";"N1_2_AA";"N1_2_AB";"N1_3_S";"N1_3_T";"N1_3_Y";"N1_3_J1";"N1_3_AC";"N1_3_N1";"N1_4_V";"N1_4_U";"N1_4_X";"N1_4_Z";"N1_4_O";"N3";"O1_A";"O1_B";"O1_C";"O1_D";"O1_E";"O1_G";"O1_OUTRO";"R1_A";"R1_B";"R1_C";"R2A_A2";"R2A_C2";"R2A_D2";"R2A_E2";"R2A_F2";"R2A_G2";"R2A_H2";"R2A_I2";"R2A_J2";"R4_A";"R4_B";"R4_C";"R4_D";"R5_A";"R5_B";"R5_D";"R5_E";"R3_K";"R3_L";"R3_O";"R6_A";"R6_B";"R6_C";"R6_D";"R6_E";"R6_F";"T0";"T0A";"T0B_A";"T0B_B";"T0B_C";"T0B_D";"T0B_E";"T0B_F";"T0B_G";"T0B_H";"T1A";"T2_A";"T2_B";"T2_C";"T2_D";"T2_OUTRO";"T3";"T10_A";"T10_B";"T10_C";"T10_D";"T10_F";"T10_E";"T11_A";"T11_B";"T11_C";"T11_D";"T11_E";"T11_F";"T12_A";"T12_B";"T12_C";"T12_D";"T12_E";"T12_F";"T13_A";"T13_B";"T13_C";"T13_D";"T13_E";"T13_F";"T14";"T15_A";"T15_B";"T15_C";"T15_D";"T15_E";"T15_F";"T16";"T17";"T18";"T19_A";"T19_B";"T19_C";"T19_D";"T19_E";"T19_F";"T19_G";"T19_H";"T19_I";"T19_J";"T19_OUTRO";"T20";"T21_A";"T21_B";"T21_C";"T21_D";"T21_E";"T21_F";"T21_G";"T21_H";"T21_I";"T21_J";"T21_K";"T25";"T23_A";"T23_B";"T23_C";"T23_D";"T23_E";"T23_F";"T24";"T26A_A";"T26A_B";"T26A_C";"T26B_D";"T26B_E";"T26C_F";"T26C_G";"T27A_A";"T27A_B";"T27A_C";"T27B_D";"T27B_E";"T27B_F";"T27C_G";"T27C_H";"U1";"U1A";"U2_A1";"U2_B";"U2_C";"U2_D1";"U2_E";"U2_F_1";"U2_G";"U3_A";"U3_B";"U3_C";"U3_D";"U3_E";"U3_F";"U3_G";"U4_A";"U4_B";"U4_C";"U4_D";"U4_E";"U4_F";"U4_G";"AREA";"RENDA_FAMILIAR_2";"A4_AGREG";"ESCOLARIDADE_2";"ESCOLARIDADE_KIDS";"CLASSE_2015_REC";"COD_REGIAO_2";"FAIXA_ETARIA";"M1_AGREG";"M1_DISPOSITIVOS";"A1B_EXCLUSIVO";"M8_FAIXA";"O1_AGREG";"O2_IMPUT";"PESO";"rep1";"rep2";"rep3";"rep4";"rep5";"rep6";"rep7";"rep8";"rep9";"rep10";"rep11";"rep12";"rep13";"rep14";"rep15";"rep16";"rep17";"rep18";"rep19";"rep20";"rep21";"rep22";"rep23";"rep24";"rep25";"rep26";"rep27";"rep28";"rep29";"rep30";"rep31";"rep32";"rep33";"rep34";"rep35";"rep36";"rep37";"rep38";"rep39";"rep40";"rep41";"rep42";"rep43";"rep44";"rep45";"rep46";"rep47";"rep48";"rep49";"rep50";"rep51";"rep52";"rep53";"rep54";"rep55";"rep56";"rep57";"rep58";"rep59";"rep60";"rep61";"rep62";"rep63";"rep64";"rep65";"rep66";"rep67";"rep68";"rep69";"rep70";"rep71";"rep72";"rep73";"rep74";"rep75";"rep76";"rep77";"rep78";"rep79";"rep80";"rep81";"rep82";"rep83";"rep84";"rep85";"rep86";"rep87";"rep88";"rep89";"rep90";"rep91";"rep92";"rep93";"rep94";"rep95";"rep96";"rep97";"rep98";"rep99";"rep100";"rep101";"rep102";"rep103";"rep104";"rep105";"rep106";"rep107";"rep108";"rep109";"rep110";"rep111";"rep112";"rep113";"rep114";"rep115";"rep116";"rep117";"rep118";"rep119";"rep120";"rep121";"rep122";"rep123";"rep124";"rep125";"rep126";"rep127";"rep128";"rep129";"rep130";"rep131";"rep132";"rep133";"rep134";"rep135";"rep136";"rep137";"rep138";"rep139";"rep140";"rep141";"rep142";"rep143";"rep144";"rep145";"rep146";"rep147";"rep148";"rep149";"rep150";"rep151";"rep152";"rep153";"rep154";"rep155";"rep156";"rep157";"rep158";"rep159";"rep160";"rep161";"rep162";"rep163";"rep164";"rep165";"rep166";"rep167";"rep168";"rep169";"rep170";"rep171";"rep172";"rep173";"rep174";"rep175";"rep176";"rep177";"rep178";"rep179";"rep180";"rep181";"rep182";"rep183";"rep184";"rep185";"rep186";"rep187";"rep188";"rep189";"rep190";"rep191";"rep192";"rep193";"rep194";"rep195";"rep196";"rep197";"rep198";"rep199";"rep200"
171298220;4686;2;1;2;1;1;1;1;1;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;3;3;1;3;1;1;1;0;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;1;0;0;1;1;1;0;3;5;3;2;1;3;3;2;3;4;1;0;1;1;1;1;1;0;1;99;1;1;3;1;4;99;1;1;0;0;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;3;3;3;1;4;3;3;2;3;1;3;3;3;1;3;3;1;3;3;3;3;3;3;1;1;3;2;2;0;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;0;1;1;0;1;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;1;0;1;1;0;1;2;1;1;2;3;2;1;1;1;1;1;1;1;1;2;2;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;4;1;2;2;3;4;2;1;3;3;2;1;6;7376,37119433093;1;1;0;1;0;2;2;1;1;3;2;0;2;1;0;1;0;0;2;0;3;3;1;1;2;2;2;4;0;1;1;1;1;1;2;1;1;0;2;1;0;0;0;0;4;1;0;2;3;3;0;0;0;1;2;0;0;1;1;2;1;0;1;1;0;0;1;1;3;1;3;0;1;0;0;1;2;0;0;2;1;1;1;2;0;0;2;0;0;0;2;3;0;0;0;1;2;0;1;0;1;0;1;1;0;0;0;0;0;4;1;0;1;0;0;0;1;0;1;0;0;0;1;1;3;1;0;2;1;0;2;0;0;1;0;2;2;2;1;1;1;1;1;3;0;3;1;2;0;2;0;2;1;1;2;0;1;0;1;1;0;0;0;0;2;2;1;0;2;2;0;0;0;0;0;0;0;3;1;3;1;1;0;1;0;0;0;2;0;0;0;1;2;0;1;1;3;1;1;1
171253684;4691;3;2;5;1;1;1;0;0;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;2;3;3;1;1;1;1;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;0;1;1;0;0;0;5;4;5;5;3;1;3;3;2;5;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;1;1;1;1;0;1;0;1;1;3;2;3;1;3;2;1;4;1;4;3;2;4;1;3;1;3;3;4;4;4;3;3;3;1;2;2;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;1;97;97;97;97;97;97;0;1;1;1;0;0;0;0;1;97;98;1;98;98;1;3;97;1;1;1;1;1;3;1;2;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;1;2;1;3;4;3;0;2;3;5;1;2;9081,6597258874;1;1;0;1;0;2;2;1;1;3;2;0;2;1;0;1;0;0;2;0;3;3;1;1;2;2;2;4;0;1;1;1;1;1;2;1;1;0;2;1;0;0;0;0;4;1;0;2;3;3;0;0;0;1;2;0;0;1;1;2;1;0;1;1;0;0;1;1;3;1;3;0;1;0;0;1;2;0;0;2;1;1;1;2;0;0;2;0;0;0;2;3;0;0;0;1;2;0;1;0;1;0;1;1;0;0;0;0;0;4;1;0;1;0;0;0;1;0;1;0;0;0;1;1;3;1;0;2;1;0;2;0;0;1;0;2;2;2;1;1;1;1;1;3;0;3;1;2;0;2;0;2;1;1;2;0;1;0;1;1;0;0;0;0;2;2;1;0;2;2;0;0;0;0;0;0;0;3;1;3;1;1;0;1;0;0;0;2;0;0;0;1;2;0;1;1;3;1;1;1
171246349;4692;2;2;5;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;1;1;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;1;0;0;1;1;0;0;3;5;3;1;3;5;5;3;5;5;1;1;1;0;1;1;1;0;1;5;5;99;1;1;5;99;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;1;1;1;3;98;1;3;3;3;1;1;1;1;1;1;1;1;1;3;1;1;1;1;97;1;97;97;1;2;97;97;97;97;97;97;97;97;0;99;99;99;99;99;0;97;97;97;97;97;97;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;97;97;97;97;97;97;0;0;0;0;0;0;0;0;3;97;3;3;3;1;3;3;2;4;1;1;1;1;1;2;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;3;1;1;2;3;4;2;0;2;3;97;0;99;3164,39387832545;1;1;0;1;0;2;2;1;1;3;2;0;2;1;0;1;0;0;2;0;3;3;1;1;2;2;2;4;0;1;1;1;1;1;2;1;1;0;2;1;0;0;0;0;4;1;0;2;3;3;0;0;0;1;2;0;0;1;1;2;1;0;1;1;0;0;1;1;3;1;3;0;1;0;0;1;2;0;0;2;1;1;1;2;0;0;2;0;0;0;2;3;0;0;0;1;2;0;1;0;1;0;1;1;0;0;0;0;0;4;1;0;1;0;0;0;1;0;1;0;0;0;1;1;3;1;0;2;1;0;2;0;0;1;0;2;2;2;1;1;1;1;1;3;0;3;1;2;0;2;0;2;1;1;2;0;1;0;1;1;0;0;0;0;2;2;1;0;2;2;0;0;0;0;0;0;0;3;1;3;1;1;0;1;0;0;0;2;0;0;0;1;2;0;1;1;3;1;1;1
169802032;4714;3;2;2;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;0;0;0;1;0;0;1;0;0;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;1;0;3;2;3;4;4;0;99;99;98;0;99;37893,1451523552;2;0;0;2;2;1;0;0;1;1;0;1;1;1;1;1;0;0;2;0;1;0;0;1;1;0;1;2;1;1;0;0;3;0;0;1;1;2;2;1;1;3;1;2;0;1;1;0;0;1;2;3;3;0;1;0;1;0;0;0;1;3;1;2;2;1;1;0;0;1;1;1;1;1;2;1;1;2;2;2;1;3;1;1;1;2;0;2;2;3;2;1;1;0;2;0;4;1;2;1;1;3;1;0;2;1;2;3;1;1;3;0;1;0;2;0;1;2;1;1;0;4;2;0;0;0;2;0;3;0;0;1;0;1;0;1;2;0;1;0;0;0;0;1;0;1;0;1;1;1;1;3;0;0;1;1;1;2;3;1;1;0;2;0;1;2;1;1;0;1;2;1;4;1;0;1;0;2;2;0;1;1;1;0;1;0;0;2;0;3;0;0;1;1;1;1;0;0;1;2
175185217;4759;8;2;1;1;1;1;1;0;1;0;0;1;0;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;3;1;1;1;3;1;3;1;1;1;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;1;0;0;0;0;0;0;4;5;5;4;5;3;3;5;3;5;1;1;1;0;1;1;1;1;1;3;3;99;1;2;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;0;3;3;3;3;3;3;2;3;3;3;1;2;2;1;2;1;1;1;3;2;4;4;4;3;3;3;1;1;1;0;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;97;97;97;97;97;97;97;1;0;1;0;0;1;0;1;1;1;3;1;1;97;97;1;5;1;1;1;1;3;1;3;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;2;3;4;3;0;2;3;7;1;1;9798,96295733962;1;0;2;1;1;2;1;2;1;0;0;1;1;1;1;2;0;3;3;1;0;0;1;2;1;0;1;0;0;1;0;1;0;2;1;1;0;1;0;1;1;1;0;2;0;0;1;1;1;0;0;0;0;0;0;1;1;2;2;2;1;1;2;0;1;0;1;1;2;0;1;1;0;1;0;0;0;4;1;1;1;2;1;1;2;1;0;2;4;2;0;0;1;3;1;1;1;2;1;1;1;1;0;1;0;4;1;1;0;0;0;0;2;2;1;1;1;1;0;1;1;2;1;1;0;1;3;1;0;3;0;2;1;2;0;0;1;2;2;1;0;1;3;0;1;0;3;0;3;0;2;1;1;0;0;2;0;1;2;0;0;0;0;2;1;0;0;1;1;2;2;1;2;2;1;4;2;0;0;0;3;2;3;0;0;1;1;0;2;0;0;3;1;3;1;1;0;1;0;2
175277416;4767;4;2;1;1;1;1;1;0;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;2;1;3;1;1;1;1;0;2;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;0;0;1;1;1;1;1;3;1;1;5;1;5;1;5;1;1;1;1;1;1;1;1;1;2;1;3;1;3;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;0;1;0;0;1;1;0;1;0;1;0;2;3;3;3;1;1;3;4;3;4;3;3;1;3;3;1;3;3;1;3;3;4;4;1;3;1;3;2;3;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;99;99;99;99;99;99;99;99;99;99;99;1;0;0;1;0;1;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;1;1;0;0;1;0;1;1;1;3;97;3;3;1;2;2;1;1;1;1;1;1;2;1;1;1;1;0;0;0;1;1;1;1;1;1;0;1;2;1;2;2;3;4;4;1;3;3;1;1;6;12537,6497174877;1;0;2;1;1;2;1;2;1;0;0;1;1;1;1;2;0;3;3;1;0;0;1;2;1;0;1;0;0;1;0;1;0;2;1;1;0;1;0;1;1;1;0;2;0;0;1;1;1;0;0;0;0;0;0;1;1;2;2;2;1;1;2;0;1;0;1;1;2;0;1;1;0;1;0;0;0;4;1;1;1;2;1;1;2;1;0;2;4;2;0;0;1;3;1;1;1;2;1;1;1;1;0;1;0;4;1;1;0;0;0;0;2;2;1;1;1;1;0;1;1;2;1;1;0;1;3;1;0;3;0;2;1;2;0;0;1;2;2;1;0;1;3;0;1;0;3;0;3;0;2;1;1;0;0;2;0;1;2;0;0;0;0;2;1;0;0;1;1;2;2;1;2;2;1;4;2;0;0;0;3;2;3;0;0;1;1;0;2;0;0;3;1;3;1;1;0;1;0;2
170426053;4779;1;2;5;1;1;1;0;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;2;3;2;2;3;2;3;1;1;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;99;99;99;99;99;99;99;99;99;99;99;1;0;1;1;0;0;0;0;0;0;0;0;4;3;2;2;3;2;5;3;3;4;0;0;0;1;0;0;0;0;99;99;99;3;99;99;99;99;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;99;0;0;0;0;0;0;0;2;2;3;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;3;1;3;3;2;1;3;1;2;97;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;97;3;1;97;97;1;97;97;1;1;3;3;1;3;3;3;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;3;2;3;4;3;0;2;2;97;0;99;5977,87150107766;1;0;0;0;1;0;1;1;0;1;4;3;1;2;0;0;1;1;2;0;1;2;1;1;2;1;1;1;0;3;2;1;0;2;2;1;1;0;0;1;0;2;1;0;1;2;1;3;2;1;2;2;1;1;2;1;0;2;1;3;1;2;0;0;1;1;0;3;1;2;0;1;2;0;3;1;1;0;1;1;3;0;1;0;1;1;1;0;0;0;0;1;1;2;0;1;0;1;1;1;0;0;1;0;2;2;3;1;2;0;2;1;0;1;0;0;1;1;0;1;3;1;0;0;0;1;0;0;0;2;2;3;1;1;2;0;0;1;3;1;3;3;1;0;0;1;1;0;0;1;0;0;2;0;2;0;1;2;0;0;1;2;1;1;0;0;2;2;1;2;2;1;2;0;1;0;2;1;1;1;0;0;1;0;1;1;0;1;1;1;3;1;1;1;0;2;2;0;1;1
170422639;4784;6;1;1;1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;0;0;1;3;3;3;3;3;3;3;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;0;1;0;0;0;0;0;0;5;5;5;3;5;2;3;5;3;3;0;0;1;0;1;1;0;0;99;99;4;99;2;1;99;99;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;99;0;0;0;1;0;1;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1;5;3;2;2;3;3;3;3;0;1;0;1;0;1;1;1;1;1;1;98;0;1;1;97;1;3;1;3;4;1;0;2;3;97;1;6;6651,48205192017;1;0;0;0;1;0;1;1;0;1;4;3;1;2;0;0;1;1;2;0;1;2;1;1;2;1;1;1;0;3;2;1;0;2;2;1;1;0;0;1;0;2;1;0;1;2;1;3;2;1;2;2;1;1;2;1;0;2;1;3;1;2;0;0;1;1;0;3;1;2;0;1;2;0;3;1;1;0;1;1;3;0;1;0;1;1;1;0;0;0;0;1;1;2;0;1;0;1;1;1;0;0;1;0;2;2;3;1;2;0;2;1;0;1;0;0;1;1;0;1;3;1;0;0;0;1;0;0;0;2;2;3;1;1;2;0;0;1;3;1;3;3;1;0;0;1;1;0;0;1;0;0;2;0;2;0;1;2;0;0;1;2;1;1;0;0;2;2;1;2;2;1;2;0;1;0;2;1;1;1;0;0;1;0;1;1;0;1;1;1;3;1;1;1;0;2;2;0;1;1
168896102;4789;2;2;1;1;1;1;1;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;1;3;1;3;1;1;1;1;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;0;1;0;1;0;0;1;1;0;1;4;3;4;5;3;1;4;3;4;3;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;1;1;1;1;0;1;1;1;0;3;3;3;3;3;3;3;3;4;4;3;4;3;3;4;3;4;88;3;3;4;3;4;3;2;1;3;3;3;97;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;0;98;98;98;98;98;98;0;0;0;0;0;1;97;97;97;97;97;97;1;0;0;0;0;0;97;99;99;99;99;99;99;99;99;97;99;99;99;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;0;1;0;0;0;1;1;0;1;1;1;0;97;1;97;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;3;4;3;0;2;1;3;1;6;2638,37387797198;1;0;0;0;1;0;1;1;0;1;4;3;1;2;0;0;1;1;2;0;1;2;1;1;2;1;1;1;0;3;2;1;0;2;2;1;1;0;0;1;0;2;1;0;1;2;1;3;2;1;2;2;1;1;2;1;0;2;1;3;1;2;0;0;1;1;0;3;1;2;0;1;2;0;3;1;1;0;1;1;3;0;1;0;1;1;1;0;0;0;0;1;1;2;0;1;0;1;1;1;0;0;1;0;2;2;3;1;2;0;2;1;0;1;0;0;1;1;0;1;3;1;0;0;0;1;0;0;0;2;2;3;1;1;2;0;0;1;3;1;3;3;1;0;0;1;1;0;0;1;0;0;2;0;2;0;1;2;0;0;1;2;1;1;0;0;2;2;1;2;2;1;2;0;1;0;2;1;1;1;0;0;1;0;1;1;0;1;1;1;3;1;1;1;0;2;2;0;1;1
169431131;4810;4;2;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;2;1;3;1;2;0;0;0;1;1;2;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;99;99;99;99;99;99;99;99;99;99;99;1;1;1;1;1;1;0;0;1;1;0;1;3;2;3;3;3;3;5;2;3;1;0;0;1;0;1;1;1;1;99;99;2;99;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;1;99;1;1;0;1;0;1;0;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3;3;3;1;3;3;3;3;1;98;1;0;0;0;0;0;0;0;0;99;99;99;99;99;97;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;99;99;99;99;99;99;99;99;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;98;98;1;1;1;1;1;1;2;1;2;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;2;1;3;2;3;4;3;0;2;3;4;1;2;6813,60479087913;1;4;0;2;4;0;2;1;0;1;0;2;1;0;2;1;2;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;2;0;0;0;0;1;2;1;1;0;0;3;0;2;2;1;3;0;0;2;0;1;1;1;0;0;0;0;1;1;2;1;0;0;1;0;2;0;1;2;0;1;0;3;1;0;1;1;1;1;1;3;0;0;1;0;1;2;2;0;1;0;0;2;1;2;1;0;1;3;1;3;0;0;0;0;1;0;0;0;1;0;2;0;2;1;1;2;0;0;0;1;1;2;0;0;0;2;1;0;2;0;2;3;0;0;0;0;2;1;1;1;3;1;2;0;2;0;2;0;1;1;0;1;1;0;0;2;3;0;1;2;0;2;1;1;2;0;0;1;0;0;1;2;0;0;2;1;1;0;2;2;2;0;2;0;3;0;1;1;0;0;2;0;1;2;2;0
